topic_name,count
Opinion and argument,541
Success,421
Feelings,363
Money,292
Education,244
Business,239
Personal qualities,235
Politics,213
Time,201
Difficulty and failure,197
Buildings,185
War and conflict,180
Crime and punishment,177
Sports: ball and racket sports,173
"Doubt, guessing and certainty",167
Law and justice,161
Jobs,155
Social issues,150
"TV, radio and news",148
Discussion and agreement,146
Houses and homes,145
Transport by car or lorry,144
Computers,142
Preferences and decisions,138
Music,136
Health problems,133
Maths and measurement,129
Film and theatre,128
"Change, cause and effect",127
Cooking and eating,126
Shopping,124
Clothes and Fashion,124
Physics and chemistry,117
Geography,116
Family and relationships,113
Life stages,112
Sports: other sports,111
Working life,108
Religion and festivals,107
Literature and writing,106
Transport by water,98
Suggestions and advice,97
Healthcare,95
Permission and obligation,95
People in society,94
Language,91
"Phones, email and the internet",90
Danger,88
Appearance,86
Art,85
Body,82
Scientific research,81
History,76
The environment,72
Colours and Shapes,72
Weather,69
Transport by air,69
Food,68
Animals,65
Transport by bus and train,65
Farming,63
Engineering,63
Holidays,61
Games and toys,55
Biology,44
Health and Fitness,42
Hobbies,32
Drinks,30
Plants and trees,29
Space,28
Gardens,26
Birds,26
Sports: water sports,24
"Insects, worms, etc.",18
Mental health,13
Fish and shellfish,11
Disability,7
