word,cefr,classification,keep_line_no,delete_line_nos,n_senses_kept,total_unique_senses,senses_overcap,notes
uncertain,UNCLASSIFIED,MIXED,8,2473,2,4,1,"MIXED: 1 cards share some senses. Manual merge needed — auto-dedup will lose senses. Total unique=4, Sense Cap = 3."
regulation,B2,PAGINATION,14,2474,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
resources,UNCLASSIFIED,PAGINATION,2482,16,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
disconnected,UNCLASSIFIED,PAGINATION,2483,26,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
foundation,B2,PAGINATION,36,2477|2476,3,5,2,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
persist,C1,PAGINATION,39,1119,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
suffering,B2,PAGINATION,41,2479,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
vital,B2,PAGINATION,43,2480,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
domesticated,UNCLASSIFIED,PAGINATION,45,2487,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
concentrations,UNCLASSIFIED,PAGINATION,2492,54,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
regulations,UNCLASSIFIED,PAGINATION,2490,55,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sustainable,B2,PAGINATION,81,2489,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
invading,UNCLASSIFIED,PAGINATION,2495,88,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
eliminated,UNCLASSIFIED,PAGINATION,2498,2499|103,2,4,1,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
hostile,C1,PAGINATION,111,2494,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
monitors,UNCLASSIFIED,PAGINATION,2505,112,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sustain,C1,PAGINATION,115,2497,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
eliminate,B2,PAGINATION,124,2502,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
distinguish,B2,PAGINATION,139,2504,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sophisticated,B2,PAGINATION,157,2508,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
hypothesis,B2,PAGINATION,160,2507,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
discipline,B2,PAGINATION,178,2510,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
phenomenon,B2,PAGINATION,189,2514,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
contract,B2,PAGINATION,1640,207|2798|2519,1,6,3,"PAGINATION: 3 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
tension,B2,PAGINATION,208,2518,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
stimulate,B2,PAGINATION,214,2521,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
resistance,C1,PAGINATION,215,2520,3,6,3,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
mechanism,B2,PAGINATION,219,2522,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
assumption,B2,PAGINATION,255,2527,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
proportions,UNCLASSIFIED,PAGINATION,2533,2532|259,3,7,4,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
dominant,B2,PAGINATION,263,2528,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
exhibit,B2,PAGINATION,268,2530,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bias,B2,PAGINATION,278,2531,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
stacked,UNCLASSIFIED,PAGINATION,289,2541,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
yield,C1,PAGINATION,298,3026,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
consistent,B2,PAGINATION,323,2537,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
inherited,UNCLASSIFIED,PAGINATION,324,2559,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
byproducts,UNCLASSIFIED,PAGINATION,2553,328,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pathways,UNCLASSIFIED,PAGINATION,331,2544,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
perception,B2,PAGINATION,341,2542,1,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
reinforce,B2,PAGINATION,346,2543,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
standards,UNCLASSIFIED,PAGINATION,2551,2550|2549|353,2,5,2,"PAGINATION: 3 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
anxiety,B2,PAGINATION,354,2548,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
engage,B2,PAGINATION,387,2554,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
bond,B2,PAGINATION,400,2556|2555,3,7,4,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
extends,UNCLASSIFIED,PAGINATION,2558,402,3,6,3,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
sync,UNCLASSIFIED,PAGINATION,2557,404,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
meandering,UNCLASSIFIED,PAGINATION,420,2562,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
advocate,C1,PAGINATION,439,2563,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
billions,UNCLASSIFIED,PAGINATION,2570,444,1,2,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
diminishing,UNCLASSIFIED,PAGINATION,452,2580,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
shifting,UNCLASSIFIED,PAGINATION,2590,2589|2588|466,2,5,2,"PAGINATION: 3 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
extension,B2,PAGINATION,474,2568|2569,3,8,5,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
breach,C1,PAGINATION,511,2576,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
grace,C1,PAGINATION,512,2575,3,5,2,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
heel,B2,PAGINATION,532,2582,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
imply,B2,PAGINATION,534,2581,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
nerve,B2,PAGINATION,537,2583,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pile,B2,PAGINATION,545,2584,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pitch,B2,PAGINATION,546,2586|2585,3,5,2,"PAGINATION: 2 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
pupil,B2,PAGINATION,548,2587,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
assure,B2,PAGINATION,557,2592,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
comprehensive,B2,PAGINATION,560,2591,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
embrace,B2,PAGINATION,566,2603,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
exceed,B2,PAGINATION,567,2594,2,3,0,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
erupt,B2,PAGINATION,568,2593,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
exploit,B2,PAGINATION,570,2597,2,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
goodness,B2,PAGINATION,574,2595,3,4,1,"PAGINATION: 1 card(s) to delete. Keep criteria: oxford_overlap, n_senses, line_no."
