line_no,word,pos,cefr,n_senses,group_size,group_classification,action
8,uncertain,adjective,UNCLASSIFIED,2,2,MIXED,keep
2473,uncertain,adjective,UNCLASSIFIED,3,2,MIXED,delete
14,regulation,noun,B2,1,2,PAGINATION,keep
2474,regulation,noun,B2,1,2,PAGINATION,delete
16,resources,noun,UNCLASSIFIED,1,2,PAGINATION,keep
2482,resources,noun,UNCLASSIFIED,1,2,PAGINATION,delete
26,disconnected,verb,UNCLASSIFIED,2,2,PAGINATION,keep
2483,disconnected,verb,UNCLASSIFIED,3,2,PAGINATION,delete
36,foundation,noun,B2,3,3,PAGINATION,keep
2476,foundation,noun,B2,1,3,PAGINATION,delete
2477,foundation,noun,B2,1,3,PAGINATION,delete
39,persist,verb,C1,2,2,PAGINATION,keep
1119,persist,verb,C1,1,2,PAGINATION,delete
41,suffering,noun,B2,1,2,PAGINATION,keep
2479,suffering,noun,B2,1,2,PAGINATION,delete
43,vital,adjective,B2,2,2,PAGINATION,keep
2480,vital,adjective,B2,1,2,PAGINATION,delete
45,domesticated,verb,UNCLASSIFIED,2,2,PAGINATION,keep
2487,domesticated,verb,UNCLASSIFIED,1,2,PAGINATION,delete
54,concentrations,noun,UNCLASSIFIED,1,2,PAGINATION,keep
2492,concentrations,noun,UNCLASSIFIED,3,2,PAGINATION,delete
55,regulations,noun,UNCLASSIFIED,1,2,PAGINATION,keep
2490,regulations,noun,UNCLASSIFIED,1,2,PAGINATION,delete
81,sustainable,adjective,B2,1,2,PAGINATION,keep
2489,sustainable,adjective,B2,1,2,PAGINATION,delete
88,invading,verb,UNCLASSIFIED,1,2,PAGINATION,keep
2495,invading,verb,UNCLASSIFIED,2,2,PAGINATION,delete
103,eliminated,verb,UNCLASSIFIED,1,3,PAGINATION,keep
2498,eliminated,verb,UNCLASSIFIED,2,3,PAGINATION,delete
2499,eliminated,verb,UNCLASSIFIED,1,3,PAGINATION,delete
111,hostile,adjective,C1,3,2,PAGINATION,keep
2494,hostile,adjective,C1,2,2,PAGINATION,delete
