line_no,word,pos_list,sense_idx,sense_pos_chip,sense_text,source_pos,source_def_idx,source_cefr,source_cefr_origin,source_oxford_badge,declared_cefr,status,reason,match_kind
8,uncertain,adjective,2,,feeling doubt about sth; not sure,adjective,1,B1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=B1 [per-def])",exact-norm
62,stimulant,noun,1,,[formal] a drug or substance that makes you feel more active and gives you more energy,noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
64,addictive,adjective,1,,"if a substance or activity is addictive, it makes people unable to stop using it or doing it",adjective,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
76,dehydrated,adjective,1,,having lost too much water from your body,adjective,2,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
96,shoddy,adjective,1,,made or done badly and with not enough care,adjective,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
122,primitive,adjective,1,,belonging to an early stage in the development of humans or animals,adjective,2,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
132,embryo,noun,1,,"a young animal or plant in the very early stages of development before birth, or before coming out of its egg or seed, especially a human egg in the first eight weeks after fertilization",noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
148,glitch,noun,1,,[informal] a small problem or fault that stops sth working successfully,noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
172,burnout,noun,1,,"the state of being extremely tired or ill, either physically or mentally, because you have worked too hard",noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
180,intimacy,noun,1,,the state of having a close personal relationship with sb,noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
202,affirm,verb,1,,"[formal, law] to confirm a legal decision",verb,3,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
205,wither,verb,1,,"if a plant withers or sth withers it, it dries up and dies",verb,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
223,consolidation,noun,1,,the act or process of making a position of power or success stronger so that it is more likely to continue,noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
240,plague,verb,1,,to cause pain or trouble to sb/sth over a period of time,verb,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
299,sabotage,noun,1,,"the act of doing deliberate damage to equipment, transport, machines, etc. to prevent an enemy from using them, or to protest about sth",noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
303,anecdote,noun,1,,"a short, interesting or funny story about a real person or event",noun,1,B2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=B2 [per-def])",exact-norm
310,resilient,adjective,1,,"returning to its original shape after being bent, stretched, or pressed",adjective,2,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
318,paranoid,adjective,1,,"believing that other people dislike you or want to harm you, when there is no reason or evidence for this",adjective,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
322,inconvenience,noun,1,,"trouble or problems, especially in connection with what you need or would like yourself",noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
339,dread,noun,1,,a feeling of great fear about sth that might or will happen in the future; a thing that causes this feeling,noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
355,insecurity,noun,1,,a lack of confidence about yourself or your relationships with other people; sth that makes you feel like this,noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
356,lush,adjective,1,,growing thickly and strongly in a way that is attractive; covered in healthy grass and plants,adjective,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
447,greed,noun,1,,"[disapproving] a strong desire for more wealth, possessions, power, etc. than a person needs",noun,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
468,aspiring,adjective,1,,wanting to be successful in life,adjective,2,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
470,labor,noun,1,,"work, especially physical work",noun,1,B2,per-def,B2,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=B2 [per-def])",exact-norm
519,recess,noun,1,,"a period of time during the year when the members of a parliament, committee, etc. do not meet",noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
524,chapel,noun,1,,"a small building or room where Christians go to pray, attend religious services, etc. in a school, prison, large private house, etc.",noun,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
1368,striking,adjective,1,,interesting and unusual enough to attract attention,adjective,1,C1,per-def,C1,B2,mismatch,"cefr-mismatch (deck=B2, source=C1 [per-def])",exact-norm
1369,strip,noun|verb,1,,"a long narrow piece of paper, metal, cloth, etc.",noun,1,C1,per-def,C1,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def]); no-per-sense-pos-in-deck; flat-matched",exact-norm
1370,strip,verb,1,,to take off all or most of your clothes or another person’s clothes,verb,1,C1,per-def,C1,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1584,coherent,adjective,1,,logical and well organized; easy to understand and clear,adjective,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1585,compatible,adjective,1,,able to be used together,adjective,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1587,conform,verb,1,,"to obey a rule, law, etc.",verb,2,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1589,contradict,verb,1,,"to say that sth that sb else has said is wrong, and that the opposite is true",verb,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1590,convene,verb,1,,[formal] to arrange for people to come together for a formal meeting,verb,1,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
1595,depress,verb,1,,"[formal] to press or push sth down, especially part of a machine",verb,4,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
1598,discriminate,verb,1,,to recognize that there is a difference between people or things; to show a difference between people or things,verb,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1600,erode,verb,1,,"to gradually destroy the surface of sth through the action of wind, rain, etc.; to be gradually destroyed in this way",verb,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1605,implicit,adjective,1,,suggested without being directly expressed,adjective,1,C1,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",exact-norm
1611,manual,noun,1,,[informal] a vehicle with a system of gears operated by the driver using a gear lever,noun,2,C2,per-def,,UNCLASSIFIED,mismatch,"cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",exact-norm
