word,missing_cefr,source_pos,source_def_idx,sense_text,badge
absorb,C1,verb,3,to reduce the effect of a physical impact or movement,B2
absorb,C1,verb,4,to take something into the mind and learn or understand it,B2
absorb,C1,verb,5,to interest somebody very much so that they pay no attention to anything else,B2
absorb,C1,verb,6,to make something smaller become part of something larger,B2
academy,C2,noun,3,a secondary school in Scotland,C1
academy,C2,noun,4,a private school in the US,C1
academy,C2,noun,5,a school in England that is independent of local authority control,C1
accommodate,C1,verb,2,to provide enough space for somebody/something,B2
accommodate,C1,verb,3,to consider something such as somebody’s opinion or a fact and be influenced by it when you are deciding what to do or e,B2
addictive,C1,adjective,1,"if a substance or activity is addictive, it makes people unable to stop using it or doing it",
advocate,C2,noun,2,a person who defends somebody in court,C1
affirm,C1,verb,3,to confirm a legal decision,
agile,C2,adjective,2,able to think quickly and in an intelligent way,
agile,C2,adjective,3,"used to describe a way of managing projects in which work is divided into a series of short tasks, with regular breaks t",
agile,C2,adjective,4,"used to describe a way of working in which the time and place of work, and the roles that people carry out, can all be c",
ally,C2,noun,3,"a person who offers their support to a particular group of people in society that they themselves do not belong to, in o",C1
ancestor,C1,noun,2,an animal that lived in the past that a modern animal has developed from,B2
ancestor,C1,noun,3,an early form of a machine that later became more developed,B2
anecdote,B2,noun,1,"a short, interesting or funny story about a real person or event",
angel,C2,noun,4,"a person who supports a business by investing money in it, especially somebody who supports a new small business with th",C1
anxiety,C1,noun,4,a strong feeling of wanting to do something or of wanting something to happen,B2
apology,C2,noun,2,information that you cannot go to a meeting or must leave early,B2
archive,C2,noun,2,"an electronic record of the data on a computer system, stored on a separate device for safety and security",C1
archive,C2,verb,1,to put or store a document or other material in an archive,C1
archive,C2,verb,2,"to move information that is not often needed to a different disk, tape or other computer to store it",C1
arm,A1,noun,1,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,C1
arm,A1,noun,2,the part of a piece of clothing that covers the arm,C1
array,C2,noun,2,a way of organizing and storing related data in a computer memory,C1
array,C2,noun,3,"a set of numbers, signs or values arranged in rows and columns",C1
ash,C2,noun,3,the powder that is left after a dead person’s body has been cremated (= burned),C1
ash,C2,noun,4,a forest tree with grey bark,C1
aside,C2,noun,1,"something that a character in a play says to the audience, but that the other characters on stage are not intended to he",B2
aside,C1,adverb,3,"used to say that except for one thing, something is true",B2
aspiring,C1,adjective,2,wanting to be successful in life,
assign,C1,verb,3,to send a person to work under the authority of somebody or in a particular group,B2
assign,C1,verb,4,"to say that something has a particular value or function, or happens at a particular time or place",B2
assign,C2,verb,6,to be said to have a particular gender when you are born,B2
assumption,C1,noun,2,the act of taking or beginning to have power or responsibility,B2
assure,C1,verb,2,to make yourself certain about something,B2
assure,C1,verb,3,to make something certain to happen,B2
attachment,C1,noun,2,the act of joining one thing to another; a thing that joins two things together,B2
attachment,C1,noun,3,a feeling of love for somebody/something,B2
automatic,C1,adjective,3,always happening as a result of a particular action or situation,B2
automatic,C2,noun,1,a gun that can fire bullets continuously as long as the trigger is pressed,B2
automatic,C1,noun,2,a vehicle with a system of gears that operates without direct action from the driver,B2
automatically,C1,adverb,3,in a way that always happens as a result of a particular action or situation,B2
awkward,C1,adjective,4,difficult or dangerous because of its shape or design,B2
awkward,C1,adjective,5,not moving in an easy way; not comfortable,B2
backing,C2,noun,3,music that goes with the main singer or tune,C1
bail,C2,noun,2,either of the two small pieces of wood on top of each set of three wooden posts (called stumps),C1
banner,C2,noun,2,a title or advertisement across the top or bottom or down the side of a page on the internet,C1
barely,C1,adverb,2,in a way that almost does not happen or exist,B2
barely,C1,adverb,3,"just; certainly not more than (a particular amount, age, time, etc.)",B2
bay,C2,noun,7,"the leaves of the bay tree, used in cooking as a herb",C1
beam,C2,noun,4,a wide and happy smile,C1
beam,C2,verb,1,to have a big happy smile on your face,C1
beam,C2,verb,2,to send radio or television signals over long distances using electronic equipment,C1
bench,C2,noun,3,(in the British parliament) a seat where a particular group of politicians sit,C1
bench,C2,verb,1,"to remove a player from a team, or not include them in the team that starts a game",C1
bench,C2,verb,2,"to be attracted to somebody and want to see them occasionally, but not regularly or as part of a serious relationship",C1
bias,C1,noun,3,the fact that the results of research or an experiment are not accurate because a particular factor has not been conside,B2
bias,C1,verb,1,to unfairly influence somebody’s opinions or decisions,B2
bias,C1,verb,2,to have an effect on the results of research or an experiment so that they do not show the real situation,B2
bishop,C2,noun,2,a piece used in the game of chess that is like a bishop’s hat in shape and can move any number of squares in a diagonal ,C1
blade,C2,noun,4,a single flat leaf of grass,C1
blanket,C1,noun,2,a thick layer or mass of something,B2
bond,C2,noun,2,an agreement by a government or a company to pay you interest on the money you have lent; a document containing this agr,B2
bond,C2,noun,4,"a legal agreement by which a bank lends you money to buy a house, etc. which you pay back over many years; the sum of mo",B2
bond,C1,noun,6,a legal written agreement or promise,B2
bond,C2,noun,8,the way in which atoms are held together in a chemical compound,B2
bond,C1,verb,1,to join two things strongly together; to join strongly to something else,B2
bond,C1,verb,2,to develop or create a relationship of trust with somebody,B2
booking,C1,noun,3,"an act of the referee writing a player’s name in a book, as a punishment because an offence has been committed",B2
