line_no,word,pos_list,n_senses,declared_cefr,source_oxford_badge,badge_match,src_cambridge_flag,src_oxford_flag,card_status,card_reason,tags
7,arguably,adverb,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
8,uncertain,adjective,2,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=B1 [per-def])",Audio::Cambridge idioms Source::Oxford
9,infection,noun,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
10,destination,noun,1,B1,B1,yes,Cambridge,Oxford,match,,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
11,ignorant,adjective,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
12,reassemble,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
13,exponentially,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
14,regulation,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
15,confusion,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
16,resources,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
17,permanent,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
18,irreversible,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
19,majority,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
20,contagious,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
21,countermeasures,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
22,equipment,noun,2,A2,A2,yes,Cambridge,Oxford,match,,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
23,trivial,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
24,frustrating,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
25,unfairness,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
26,disconnected,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
27,pervasive,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
28,narrative,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B1 CEFR::oxford Oxford_3000 Source::Oxford
29,subjective,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge OPAL_W Source::Oxford
30,evolved,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED OPAL_W Source::Oxford
31,complexity,noun,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
32,destined,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
33,mundane,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
34,majestic,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
35,lineages,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
36,foundation,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford idioms Oxford_5000 Source::Oxford
37,unfathomable,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
38,ingrained,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
39,persist,verb,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
40,setbacks,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
41,suffering,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
42,controversial,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
43,vital,adjective,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
44,immature,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
45,domesticated,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge Source::Oxford
46,nutritious,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
47,evolutionary,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
48,adaptation,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
49,specialized,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
50,intolerance,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
51,distribution,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
52,mutation,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
53,cardiovascular,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
54,concentrations,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
55,regulations,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
56,prevalent,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
57,mortality,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
58,significant,adjective,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
59,fermentation,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
60,regional,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
61,ambition,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
62,stimulant,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
63,potent,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
64,addictive,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
65,prescription,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
66,motivation,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
67,fatigue,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
68,congestion,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
69,skyrocket,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
70,unprecedented,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
71,align,verb,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
72,surge,noun|verb,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
73,competitive,adjective,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
74,hyperfocus,verb,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
75,ruminate,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
76,dehydrated,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
77,tolerance,noun,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
78,psychosis,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
79,hallucination,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
80,elasticity,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
81,sustainable,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
82,saturating,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
83,dramatic,adjective,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
84,discourse,noun,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
85,supercharged,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
86,mediocre,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
87,soullessly,verb,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
88,invading,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
89,attribution,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
90,irreversibly,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
91,trustworthy,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
92,critique,noun,1,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
93,extensive,adjective,2,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
94,extrapolated,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
95,misinformation,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
96,shoddy,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
97,corrosive,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
98,integrity,noun,2,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
99,ingenuity,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge Source::Oxford
100,civilization,noun,3,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_5000 Source::Oxford
101,conceivable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
102,delicate,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
103,eliminated,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
104,estimates,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
105,evidence,noun,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::A2 CEFR::oxford idioms OPAL_W Oxford_3000 Source::Oxford
106,expansion,noun,1,B2,B2,yes,Oxford,Oxford,match,,Audio::Cambridge CEFR::B2 CEFR::oxford OPAL_W Oxford_5000 Source::Oxford
107,galactic,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
108,habitable,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
