line_no,word,pos_list,sense_idx,sense_pos_chip,sense_text,source_pos,source_def_idx,source_cefr,source_cefr_origin,source_oxford_badge,declared_cefr,status,reason,match_kind
7,abdominal,adjective,1,,relating to or connected with the abdomen,adjective,1,UNCLASSIFIED,none,,UNCLASSIFIED,match,,exact-norm
8,abolish,verb,1,,"to officially end a law, a system or an institution",verb,1,C1,oxford-badge,C1,C1,match,,exact-norm
9,abortion,noun,1,,"the deliberate ending of a pregnancy, whether by medical operation or other means",,,,,C1,C1,mismatch,sense-text-not-in-source,none
10,absence,noun,1,,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,noun,1,C1,per-def,C1,C1,match,,exact-norm
10,absence,noun,2,,the fact of somebody/something not existing or not being available; a lack of something,noun,2,C1,per-def,C1,C1,match,,exact-norm
11,absent,adjective,1,,"not in a place because of illness, etc. ; not present in something",adjective,1,C1,per-def,C1,C1,match,,fuzzy-jaccard=0.78
12,absorb,verb,1,,to take in a substance or a form of energy from the surface or space around,verb,1,B2,per-def,B2,B2,match,,fuzzy-jaccard=0.62
13,abstract,adjective,1,,"based on general ideas and not on any particular real person, thing or situation ; existing in thought or as an idea but not having a physical reality ; not representing people or things in a realistic way, but expressing the artist’s ideas about them",,,,,B2,B2,mismatch,sense-text-not-in-source,none
14,absurd,adjective,1,,extremely silly; not logical and sensible,adjective,1,C1,per-def,C1,C1,match,,exact-norm
14,absurd,adjective,2,,things that are or that seem to be absurd,adjective,2,C1,per-def,C1,C1,match,,exact-norm
15,abundance,noun,1,,a large quantity that is more than enough,noun,1,C1,oxford-badge,C1,C1,match,,exact-norm
16,abundant,adjective,1,,existing in large quantities; more than enough,adjective,1,UNCLASSIFIED,none,,UNCLASSIFIED,match,,exact-norm
17,abuse,noun|verb,1,,the use of something in a way that is wrong or harmful,noun,1,C1,per-def,C1,C1,match,no-per-sense-pos-in-deck; flat-matched,exact-norm
17,abuse,noun|verb,2,,"unfair, cruel or violent treatment of somebody",noun,2,C1,per-def,C1,C1,match,no-per-sense-pos-in-deck; flat-matched,exact-norm
17,abuse,noun|verb,3,,"rude and offensive remarks, usually made when somebody is very angry",noun,3,C1,per-def,C1,C1,match,no-per-sense-pos-in-deck; flat-matched,exact-norm
18,academy,noun,1,,a school or college for special training,noun,1,C1,per-def,C1,C1,match,,exact-norm
