word,missing_cefr,source_pos,source_def_idx,sense_text,badge,found_in_lines,found_in_declared_cef
absorb,C1,verb,3,to reduce the effect of a physical impact or movement,B2,2797,B2
absorb,C1,verb,4,to take something into the mind and learn or understand it,B2,2797,B2
absorb,C1,verb,5,to interest somebody very much so that they pay no attention to anything else,B2,2797,B2
academy,C2,noun,3,a secondary school in Scotland,C1,2799,C1
academy,C2,noun,4,a private school in the US,C1,2799,C1
academy,C2,noun,5,a school in England that is independent of local authority control,C1,2799,C1
accommodate,C1,verb,2,to provide enough space for somebody/something,B2,2800,B2
addictive,C1,adjective,1,"if a substance or activity is addictive, it makes people unable to stop using it or doing it",,64,UNCLASSIFIED
advocate,C2,noun,2,a person who defends somebody in court,C1,2563,C1
affirm,C1,verb,3,to confirm a legal decision,,202,UNCLASSIFIED
agile,C2,adjective,2,able to think quickly and in an intelligent way,,2536,UNCLASSIFIED
ancestor,C1,noun,2,an animal that lived in the past that a modern animal has developed from,B2,2802,B2
ancestor,C1,noun,3,an early form of a machine that later became more developed,B2,2802,B2
anecdote,B2,noun,1,"a short, interesting or funny story about a real person or event",,303,UNCLASSIFIED
anxiety,C1,noun,4,a strong feeling of wanting to do something or of wanting something to happen,B2,2548,B2
apology,C2,noun,2,information that you cannot go to a meeting or must leave early,B2,2804,B2
archive,C2,noun,2,"an electronic record of the data on a computer system, stored on a separate device for safety and security",C1,2618,C1
array,C2,noun,2,a way of organizing and storing related data in a computer memory,C1,2619,C1
array,C2,noun,3,"a set of numbers, signs or values arranged in rows and columns",C1,2619,C1
ash,C2,noun,3,the powder that is left after a dead person’s body has been cremated (= burned),C1,2620,C1
ash,C2,noun,4,a forest tree with grey bark,C1,2620,C1
aside,C1,adverb,3,"used to say that except for one thing, something is true",B2,2805,B2
aspiring,C1,adjective,2,wanting to be successful in life,,468,UNCLASSIFIED
assign,C1,verb,3,to send a person to work under the authority of somebody or in a particular group,B2,2806,B2
assign,C1,verb,4,"to say that something has a particular value or function, or happens at a particular time or place",B2,2806,B2
assign,C2,verb,6,to be said to have a particular gender when you are born,B2,2807,B2
assumption,C1,noun,2,the act of taking or beginning to have power or responsibility,B2,2527,B2
assure,C1,verb,2,to make yourself certain about something,B2,2592,B2
assure,C1,verb,3,to make something certain to happen,B2,2592,B2
attachment,C1,noun,2,the act of joining one thing to another; a thing that joins two things together,B2,2809,B2
attachment,C1,noun,3,a feeling of love for somebody/something,B2,2809,B2
automatic,C1,adjective,3,always happening as a result of a particular action or situation,B2,2808,B2
automatically,C1,adverb,3,in a way that always happens as a result of a particular action or situation,B2,2811,B2
awkward,C1,adjective,4,difficult or dangerous because of its shape or design,B2,2810,B2
awkward,C1,adjective,5,not moving in an easy way; not comfortable,B2,2810,B2
backing,C2,noun,3,music that goes with the main singer or tune,C1,2623,C1
bail,C2,noun,2,either of the two small pieces of wood on top of each set of three wooden posts (called stumps),C1,2622,C1
banner,C2,noun,2,a title or advertisement across the top or bottom or down the side of a page on the internet,C1,2621,C1
barely,C1,adverb,2,in a way that almost does not happen or exist,B2,2812,B2
barely,C1,adverb,3,"just; certainly not more than (a particular amount, age, time, etc.)",B2,2812,B2
bay,C2,noun,7,"the leaves of the bay tree, used in cooking as a herb",C1,2627,C1
beam,C2,noun,4,a wide and happy smile,C1,2624,C1
bench,C2,noun,3,(in the British parliament) a seat where a particular group of politicians sit,C1,2628,C1
blade,C2,noun,4,a single flat leaf of grass,C1,2629,C1
blanket,C1,noun,2,a thick layer or mass of something,B2,2813,B2
bond,C1,noun,6,a legal written agreement or promise,B2,2555,B2
bond,C2,noun,8,the way in which atoms are held together in a chemical compound,B2,2556,B2
booking,C1,noun,3,"an act of the referee writing a player’s name in a book, as a punishment because an offence has been committed",B2,2816,B2
boom,C2,noun,3,a long pole that the bottom of a sail is attached to and that you move to change the position of the sail,C1,2634,C1
bounce,C2,verb,6,to move somewhere in a lively and cheerful way,C1,2633,C1
bounce,C2,verb,9,"if an email bounces or the system bounces it, it returns to the person who sent it because the system cannot deliver it",C1,2633,C1
bound,C1,adjective,2,"forced to do something by law, duty or a particular situation",B2,2814,B2
boundary,C2,noun,2,a hit of the ball that crosses the boundary of the playing area and scores extra points,C1,2625,C1
breach,C2,noun,4,an opening that is created during a military attack or by strong winds or seas,C1,2576,C1
buck,C2,noun,2,"a male deer, hare or rabbit (also called a buck rabbit)",C1,2635,C1
bug,C1,noun,3,an enthusiastic interest in something such as a sport or a hobby,B2,2819,B2
bug,C1,noun,5,a small hidden device for listening to other people’s conversations,B2,2819,B2
burnout,C2,noun,1,"the state of being extremely tired or ill, either physically or mentally, because you have worked too hard",,172,UNCLASSIFIED
cabin,C2,noun,3,"a small house or shelter, usually made of wood",B2,2817,B2
canal,C2,noun,2,"a tube inside the body through which liquid, food or air can pass",B2,2818,B2
