word,pos,audit_cefr,oxford_senses,audit_senses,missing,oxford_badge,audit_def
twist,noun, verb,C1,12,3,9,C1,"the action of turning something with your hand, or of turning a part of your body|an unexpected change or development in a story or situation|a sharp bend in a road or river"
reverse,adjective, noun, verb,C1,9,3,6,C1,"opposite to what has been mentioned|the opposite of what has just been mentioned|the machine in a vehicle used to make it move backwards"
dive,noun, verb,B2,8,3,5,B2,"a jump into deep water with your head first and your arms in front of you|an act of going underwater and swimming there with special equipment|an act of suddenly flying downwards"
surge,noun, verb,C1,8,3,5,C1,"a sudden increase of a strong feeling|a sudden increase in the amount or number of something|a sudden, strong movement forward or upwards"
abuse,noun, verb,C1,7,3,4,C1,"the use of something in a way that is wrong or harmful|unfair, cruel or violent treatment of somebody|rude and offensive remarks, usually made when somebody is very angry"
alert,adjective, noun, verb,C1,7,3,4,C1,"able to think quickly and notice things, especially possible dangers or problems|a situation in which people are watching for danger and ready to deal with it|a warning of danger or of a problem"
seal,verb, noun,C1,7,3,4,C1,"to close an envelope, etc. by sticking the edges of the opening together|to close a container tightly or fill a small opening, etc., especially so that air, liquid, etc. cannot get in or out|to make s"
trail,noun, verb,C1,7,3,4,C1,"a long line or series of marks that is left by somebody/something|a track, sign or smell that is left behind and that can be followed, especially in hunting|a path through the countryside"
fit,noun,B2,5,2,3,A2,"the way that something, especially a piece of clothing, fits; the way that somebody/something fits into something"
grip,noun, verb,C1,7,4,3,C1,"an act of holding somebody/something tightly; a particular way of doing this|control or power over somebody/something|an understanding of something"
leak,noun, verb,C1,6,3,3,C1,"a small hole that lets liquid or gas flow in or out of something by accident|liquid or gas that escapes through a hole in something|a deliberate act of giving secret information to reporters, etc."
leverage,verb,C2,4,1,3,None,"to use borrowed money to buy an investment, in the hope of increasing profits in the future"
leverage,verb,C2,4,1,3,None,"to use borrowed money to buy an investment, in the hope of increasing profits in the future"
moderate,adjective,C1,4,1,3,C1,"neither too much nor too little, or not extreme in any way"
plug,noun, verb,C1,6,3,3,C1,"a small plastic object with two or three metal pins that connects a piece of electrical equipment to the main supply of electricity|a small opening in a wall, by which you connect a piece of electrica"
raid,noun, verb,C1,6,3,3,C1,"a short surprise attack on an enemy by soldiers, ships or aircraft|a surprise visit by the police looking for criminals or for illegal goods or drugs|an attack on a building, etc. in order to commit a"
shed,verb,C1,4,1,3,C1,"to get rid of something that is no longer wanted"
swing,noun, verb,C1,7,4,3,C1,"a swinging movement or rhythm|a change from one opinion or situation to another; the amount by which something changes|a seat for swinging on, hung from above on ropes or chains"
trace,noun,C1,5,2,3,B2,"a mark, an object or a sign that shows that somebody/something existed or was present|a very small amount of something"
trap,noun, verb,B2,6,3,3,B2,"a piece of equipment for catching animals|a clever plan designed to trick somebody, either by capturing them or by making them do or say something that they did not mean to do or say|to put somebody i"
amateur,adjective, noun,C1,5,3,2,C1,"doing something for pleasure or interest, not as a job|done for pleasure, not as a job|not done or made well or with skill"
articulate,verb,C1,4,2,2,C1,"to express or explain your thoughts or feelings clearly in words|to speak, pronounce or play something in a clear way"
assault,noun, verb,C1,5,3,2,C1,"the crime of attacking somebody physically|the act of attacking a building, an area, etc. in order to take control of it|the act of trying to achieve something that is difficult or dangerous"
audition,noun,C2,3,1,2,None,"tryout performance"
blast,noun, verb,C1,5,3,2,C1,"an explosion or a powerful movement of air caused by an explosion|a sudden strong movement of air|a sudden loud noise, especially one made by a musical instrument that you blow, or by a whistle or a c"
blend,noun, verb,C1,6,4,2,C1,"a mixture of different types of the same thing ; a pleasant or useful combination of different things|to mix two or more substances together|to form a mixture with something"
clash,noun,C1,5,3,2,C1,"a short fight between two groups of people|an argument between two people or groups of people who have different beliefs and ideas|the difference that exists between two things that are opposed to eac"
communist,adjective,C1,4,2,2,C1,"connected with communism|governed by or belonging to a Communist party"
copyright,noun,C1,3,1,2,C1,"if a person or an organization holds the copyright on a piece of writing, music, etc., they are the only people who have the legal right to publish, broadcast, perform it, etc., and other people must "
corrupt,adjective,C1,3,1,2,C1,"dishonest or immoral, especially in the use of power or position for personal gain"
deposit,noun,C1,5,3,2,C1,"a sum of money that is paid into a bank account|a layer of a substance that has formed naturally underground|a layer of a substance that has been left somewhere, especially by a river, flood, etc., or"
distinction,noun,C1,5,3,2,C1,"a clear difference or contrast especially between people or things that are similar or related|the act of separating people or things into different groups|the quality of being something that is speci"
drift,verb,C1,5,3,2,C1,"to move along smoothly and slowly in water or air|to move or go somewhere slowly|to be blown into large piles by the wind"
firm,adjective, noun,B2,6,4,2,B2,"fairly hard; not easy to press into a different shape|not likely to change|strongly fixed in place"
gut,noun,C1,5,3,2,C1,"the tube in the body through which food passes when it leaves the stomach|the organs in and around the stomach, especially in an animal|a person’s stomach, especially when it is large"
hint,noun, verb,C1,5,3,2,C1,"something that you say or do in an indirect way in order to show somebody what you are thinking|something that suggests what will happen in the future|a small amount of something"
identification,noun,C1,5,3,2,C1,"the process of showing, proving or recognizing who or what somebody/something is|the process of recognizing that something exists, or is important|official papers or a document that can prove who you "
leap,noun, verb,C1,6,4,2,C1,"a long or high jump|a sudden large increase in something|a sudden change from one thing to another; very fast progress with something"
march,noun, verb,C1,6,4,2,C1,"an organized walk by many people from one place to another, in order to protest about something, or to express their opinions|an act of marching; a journey made by marching|to walk with stiff regular "
mate,noun, verb,B2,5,3,2,B2,"a friend|used as a friendly way of addressing somebody, especially between men|a person you share an activity or accommodation with"
monitor,verb,B2,3,1,2,B2,"to watch and check something over a period of time in order to see how it develops, so that you can make any necessary changes"
nest,noun,C1,3,1,2,C1,"a structure or place that an animal makes or chooses for laying its eggs in, sheltering its young, or living in"
niche,noun,C1,3,1,2,C1,"a comfortable or suitable role or position, or a small specialized area of a market"
plunge,verb,C1,4,2,2,C1,"to move or make somebody/something move suddenly forwards and/or downwards|to decrease suddenly and quickly"
preserve,verb,B2,3,1,2,B2,"to keep something in its original or existing state, whether a quality, a condition, or by preventing decay"
