word,pos,audit_cefr,oxford_badge,reason,audit_def
bid,noun, verb,B2,None,oxford has no sense/badge with cefr=B2,"an offer by a person or a company to pay a particular amount of money for something|an offer to do work or provide a service for a particular price, in competition with other companies, etc.|to offer "
id,noun,B2,None,oxford has no sense/badge with cefr=B2,"identification"
pension,noun,B2,None,oxford has no sense/badge with cefr=B2,"an amount of money paid regularly by a government or company to somebody who has retired from work"
accused,noun,C1,,word not in oxford,"to say that sb has done sth wrong or is guilty of sth"
bass,noun,C1,None,oxford has no sense/badge with cefr=C1,"the lowest tone or part in music, for instruments or voices|an electric guitar that plays very low notes"
contrary,adjective, noun,C1,None,oxford has no sense/badge with cefr=C1,"different from something; against something|completely different in nature or direction|the opposite fact, event or situation"
recount,verb,C1,None,oxford has no sense/badge with cefr=C1,"to tell somebody about something, especially something that you have experienced"
sake,noun,C1,None,oxford has no sense/badge with cefr=C1,"a Japanese alcoholic drink made from rice"
abdominal,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"relating to or connected with the abdomen"
abundant,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"existing in large quantities; more than enough"
aggregate,adjective, noun, verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"made up of several amounts that are added together to form a total number|a total number or amount made up of smaller amounts that are collected together|to put together different items, amounts, etc."
ambiguous,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"able to be understood in more than one way, or not clearly stated or defined"
analytical,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"using a logical method of thinking about something in order to understand it, especially by looking at all the parts separately|using scientific analysis in order to find out about something"
apocalyptic,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"describing very serious damage and destruction in past or future events|like the end of the world"
append,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to add something to the end of a piece of writing"
approximate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to be similar or close to something in nature, quality, amount, etc., but not exactly the same|to calculate or estimate something fairly accurately"
atrophy,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the condition of losing fat, muscle, strength, etc. in a part of the body because it does not have enough blood"
attribution,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the act of saying or believing that something is the result of a particular thing|the act of saying or believing that somebody is responsible for doing something, especially for saying, writing or pai"
autoimmune,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"an autoimmune disease or medical condition caused by antibodies (= substances produced in the blood to fight disease) attacking substances that are naturally present in the body"
automate,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to use machines and computers instead of people to do a job or task"
bliss,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"extreme happiness"
bolster,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to improve something or make it stronger"
boundless,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"without limits; seeming to have no end"
byproducts,noun,UNCLASSIFIED,,word not in oxford,"a thing that happens, often unexpectedly, as the result of sth else"
cardiovascular,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"relating to the heart and the blood vessels (= the tubes that carry blood around the body)"
categorically,adverb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"in a very clear and definite way"
circulatory,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"relating to the movement of blood around the body"
colonize,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to take control of an area or a country that is not your own, especially using force, and send people from your own country to live there|to live or grow in large numbers in a particular area"
commodify,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to turn something into or treat something as a product that can be bought and sold"
comport,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to behave in a particular way"
conceivable,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"that you can imagine or believe"
concurrent,adjective,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"existing or happening at the same time"
congestion,noun,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"the state of being crowded and full of traffic ; the state of part of the body being blocked with blood or mucus"
constrain,verb,UNCLASSIFIED,None,oxford has no sense/badge with cefr=UNCLASSIFIED,"to force somebody to do something or behave in a particular way|to limit somebody/something"
